AREA,1 ROOM,2 ROOM,3 ROOM,4 ROOM,5 ROOM,EXECUTIVE
ANG MO KIO,,290000,400000,648000,807000,1039000
BEDOK,,306000,380000,572000,705000,900000
BISHAN,,unavailable,444000,707000,914000,1088000
BUKIT BATOK,,336000,400000,587000,762000,840000
BUKIT MERAH,243000,340000,496000,803000,934000,unavailable
BUKIT PANJANG,,307000,399000,515000,632000,784000
BUKIT TIMAH,,unavailable,466000,756000,1051000,1232000
CENTRAL AREA,,320000,461000,913000,1221000,1034000
CHOA CHU KANG,,301000,399000,502000,592000,728000
CLEMENTI,,365000,443000,671000,878000,985000
GEYLANG,,260000,372000,640000,792000,907000
HOUGANG,,347000,400000,546000,684000,876000
JURONG EAST,,301000,372000,490000,638000,863000
JURONG WEST,,297000,354000,499000,593000,710000
KALLANG,,291000,432000,759000,879000,991000
MARINE PARADE,,265000,445000,570000,879000,unavailable
PASIR RIS,,357000,481000,566000,662000,822000
PUNGGOL,,335000,460000,594000,681000,737000
QUEENSTOWN,,326000,442000,859000,972000,1139000
SEMBAWANG,,329000,441000,545000,607000,681000
SENGKANG,,338000,460000,568000,638000,737000
SERANGOON,,286000,403000,597000,712000,940000
TAMPINES,,346000,429000,577000,696000,870000
TOA PAYOH,,268000,400000,737000,909000,982000
WOODLANDS,,322000,381000,499000,595000,823000
YISHUN,,318000,391000,497000,646000,823000
BOON LAY,,unavailable,unavailable,unavailable,unavailable,unavailable
CENTRAL WATER CATCHMENT,,unavailable,unavailable,unavailable,unavailable,unavailable
CHANGI,,unavailable,unavailable,unavailable,unavailable,unavailable
CHANGI BAY,,unavailable,unavailable,unavailable,unavailable,unavailable
DOWNTOWN CORE,,unavailable,unavailable,unavailable,unavailable,unavailable
LIM CHU KANG,,unavailable,unavailable,unavailable,unavailable,unavailable
MANDAI,,unavailable,unavailable,unavailable,unavailable,unavailable
MARINA SOUTH,,unavailable,unavailable,unavailable,unavailable,unavailable
MUSEUM,,unavailable,unavailable,unavailable,unavailable,unavailable
NEWTON,,unavailable,unavailable,unavailable,unavailable,unavailable
NOVENA,,unavailable,unavailable,unavailable,unavailable,unavailable
ORCHARD,,unavailable,unavailable,unavailable,unavailable,unavailable
OUTRAM,,unavailable,unavailable,unavailable,unavailable,unavailable
PAYA LEBAR,,unavailable,unavailable,unavailable,unavailable,unavailable
PIONEER,,unavailable,unavailable,unavailable,unavailable,unavailable
RIVER VALLEY,,unavailable,unavailable,unavailable,unavailable,unavailable
SELETAR,,unavailable,unavailable,unavailable,unavailable,unavailable
SIMPANG,,unavailable,unavailable,unavailable,unavailable,unavailable
SINGAPORE RIVER,,unavailable,unavailable,unavailable,unavailable,unavailable
SOUTHERN ISLANDS,,unavailable,unavailable,unavailable,unavailable,unavailable
STRAITS VIEW,,unavailable,unavailable,unavailable,unavailable,unavailable
SUNGEI KADUT,,unavailable,unavailable,unavailable,unavailable,unavailable
TANGLIN,,unavailable,unavailable,unavailable,unavailable,unavailable
TENGAH,,unavailable,unavailable,unavailable,unavailable,unavailable
TUAS,,unavailable,unavailable,unavailable,unavailable,unavailable
WESTERN ISLANDS,,unavailable,unavailable,unavailable,unavailable,unavailable
WESTERN WATER CATCHMENT,,unavailable,unavailable,unavailable,unavailable,unavailable
NORTH-EASTERN ISLANDS,,unavailable,unavailable,unavailable,unavailable,unavailable
MARINA EAST,,unavailable,unavailable,unavailable,unavailable,unavailable
ROCHOR,,unavailable,unavailable,unavailable,unavailable,unavailable
